InputID,GeneID,GO_ID,Evidence,Qualifier,GO_term,PubMed,Category
LOC5563747,5563747,GO:0005509,IEA,enables,calcium ion binding,22301074,Function
LOC5563748,5563748,GO:0016300,IEA,enables,tRNA (uridine) methyltransferase activity,30032202,Function
LOC5563748,5563748,GO:0030488,IEA,involved_in,tRNA methylation,30032202,Process
LOC5563748,5563748,GO:0046872,IEA,enables,metal ion binding,22301074,Function
LOC5563749,5563749,GO:0004930,IEA,enables,G protein-coupled receptor activity,22301074,Function
LOC5563749,5563749,GO:0016020,IEA,located_in,membrane,22301074,Component
LOC5563757,5563757,GO:0008028,IEA,enables,monocarboxylic acid transmembrane transporter activity,30032202,Function
LOC5563757,5563757,GO:0015718,IEA,involved_in,monocarboxylic acid transport,30032202,Process
LOC5563757,5563757,GO:0055085,IEA,involved_in,transmembrane transport,22301074,Process
LOC5563760,5563760,GO:0005634,IEA,located_in,nucleus,30032202,Component
LOC5563760,5563760,GO:0005737,IEA,located_in,cytoplasm,30032202,Component
LOC5563760,5563760,GO:0006974,IEA,involved_in,DNA damage response,30032202,Process
LOC5563760,5563760,GO:0016791,IEA,enables,phosphatase activity,30032202,Function
LOC5563762,5563762,GO:0006644,IEA,involved_in,phospholipid metabolic process,22301074,Process
LOC5563762,5563762,GO:0050482,IEA,involved_in,arachidonate secretion,22301074,Process
LOC5563763,5563763,GO:0005739,IEA,located_in,mitochondrion,30032202,Component
LOC5563763,5563763,GO:0016491,IEA,enables,oxidoreductase activity,22301074,Function
LOC5563763,5563763,GO:0030151,IEA,enables,molybdenum ion binding,22301074,Function
LOC5563768,5563768,GO:0004674,IEA,enables,protein serine/threonine kinase activity,30032202,Function
LOC5563768,5563768,GO:0005524,IEA,enables,ATP binding,22301074,Function
LOC5563768,5563768,GO:0005634,IEA,located_in,nucleus,30032202,Component
LOC5563768,5563768,GO:0006468,IEA,involved_in,protein phosphorylation,22301074,Process
LOC5563768,5563768,GO:0035556,IEA,involved_in,intracellular signal transduction,30032202,Process
LOC5563768,5563768,GO:0043065,IEA,involved_in,positive regulation of apoptotic process,30032202,Process
LOC5563771,5563771,GO:0004715,IEA,enables,non-membrane spanning protein tyrosine kinase activity,30032202,Function
LOC5563771,5563771,GO:0005515,IEA,enables,protein binding,22301074,Function
LOC5563771,5563771,GO:0005524,IEA,enables,ATP binding,22301074,Function
LOC5563771,5563771,GO:0035556,IEA,involved_in,intracellular signal transduction,22301074,Process
LOC5563771,5563771,GO:0038083,IEA,involved_in,peptidyl-tyrosine autophosphorylation,30032202,Process
LOC5563772,5563772,GO:0005856,IEA,located_in,cytoskeleton,30032202,Component
LOC5563776,5563776,GO:0004672,IEA,enables,protein kinase activity,22301074|30032202,Function
LOC5563776,5563776,GO:0005515,IEA,enables,protein binding,22301074,Function
LOC5563776,5563776,GO:0005524,IEA,enables,ATP binding,22301074,Function
LOC5563776,5563776,GO:0006468,IEA,involved_in,protein phosphorylation,22301074,Process
LOC5563777,5563777,GO:0004714,IEA,enables,transmembrane receptor protein tyrosine kinase activity,30032202,Function
LOC5563777,5563777,GO:0005524,IEA,enables,ATP binding,22301074,Function
LOC5563777,5563777,GO:0006468,IEA,involved_in,protein phosphorylation,22301074,Process
LOC5563777,5563777,GO:0007169,IEA,involved_in,cell surface receptor protein tyrosine kinase signaling pathway,30032202,Process
LOC5563777,5563777,GO:0007275,IEA,involved_in,multicellular organism development,30032202,Process
LOC5563777,5563777,GO:0033674,IEA,involved_in,positive regulation of kinase activity,30032202,Process
LOC5563777,5563777,GO:0043235,IEA,part_of,signaling receptor complex,30032202,Component
LOC5563778,5563778,GO:0003887,IEA,enables,DNA-directed DNA polymerase activity,30032202,Function
LOC5563778,5563778,GO:0005634,IEA,located_in,nucleus,22301074|30032202,Component
LOC5563778,5563778,GO:0006260,IEA,involved_in,DNA replication,22301074|30032202,Process
LOC5563778,5563778,GO:0006271,IEA,involved_in,DNA strand elongation involved in DNA replication,30032202,Process
LOC5563778,5563778,GO:0006297,IEA,involved_in,"nucleotide-excision repair, DNA gap filling",30032202,Process
LOC5563778,5563778,GO:0043625,IEA,part_of,delta DNA polymerase complex,22301074|30032202,Component
LOC5563778,5563778,GO:1904161,IEA,involved_in,DNA synthesis involved in UV-damage excision repair,30032202,Process
LOC5563780,5563780,GO:0005515,IEA,enables,protein binding,22301074,Function
LOC5563780,5563780,GO:0005634,IEA,located_in,nucleus,30032202,Component
LOC5563780,5563780,GO:0006357,IEA,involved_in,regulation of transcription by RNA polymerase II,30032202,Process
LOC5563781,5563781,GO:0001096,IEA,enables,TFIIF-class transcription factor complex binding,30032202,Function
LOC5563781,5563781,GO:0003677,IEA,enables,DNA binding,22301074|30032202,Function
LOC5563781,5563781,GO:0005634,IEA,located_in,nucleus,22301074|30032202,Component
LOC5563781,5563781,GO:0005674,IEA,part_of,transcription factor TFIIF complex,30032202,Component
LOC5563781,5563781,GO:0006367,IEA,involved_in,transcription initiation at RNA polymerase II promoter,22301074|30032202,Process
LOC5563781,5563781,GO:0016251,IEA,enables,RNA polymerase II general transcription initiation factor activity,30032202,Function
